anime_id,person_id,role
33049,927,"Producer, Sound Director"
33049,1212,Assistant Producer
50265,159,Producer
50265,1246,Producer
50265,162,Producer
50265,2361,Producer
44511,57,Producer
44511,509,Producer
44511,58,Producer
44511,59,Assistant Producer
11577,159,Producer
11577,1770,Producer
11577,2364,Producer
11577,2365,"Director, Key Animation"
26055,1614,Producer
26055,2002,Producer
26055,2003,Producer
26055,490,Producer
51039,1712,Original Creator
37105,161,Producer
37105,2380,Producer
37105,1982,Producer
37105,1291,Producer
36999,231,Producer
36999,577,Producer
36999,720,Assistant Producer
36999,2381,Assistant Producer
40059,159,Producer
40059,715,Producer
40059,490,Producer
40059,2395,Producer
35737,2414,Producer
35737,2415,Producer
35737,2416,Producer
35737,2417,Producer
30654,159,Producer
30654,1748,Producer
30654,2431,Director
30654,2432,Sound Director
20583,536,Producer
20583,161,Producer
20583,889,Producer
20583,891,"Producer, Production Assistant"
60988,2074,Original Creator
54857,1434,Producer
54857,2449,Producer
54857,2450,Producer
54857,2451,Producer
37779,1246,Producer
37779,1748,Producer
37779,2333,Producer
37779,2466,Producer
3297,2484,Producer
3297,368,Producer
3297,2485,Producer
3297,2486,"Director, Sound Director, Storyboard"
36538,1565,Producer
36538,1336,Producer
36538,1566,Producer
36538,2487,Producer
50330,1696,Producer
50330,1697,Producer
50330,1698,Producer
50330,1699,"Director, Storyboard"
42203,1770,Producer
42203,2493,"Director, Episode Director, Storyboard"
42203,782,Sound Director
42203,2494,Episode Director
467,308,Producer
467,1944,Producer
467,2499,Producer
467,1946,"Director, Script, Storyboard, Series Composition, Series Production Director"
21899,2503,"Theme Song Arrangement, Theme Song Performance"
21899,2504,"Theme Song Performance, Theme Song Lyrics, Theme Song Composition, Theme Song Arrangement"
21899,2505,Original Creator
21899,2506,Character Design
25781,162,Producer
25781,2158,"Producer, Planning"
25781,2515,Producer
25781,2516,Producer
40730,910,"Director, Planning"
40730,2520,Script
40730,2521,Theme Song Performance
40730,1141,Theme Song Performance
136,2533,Producer
136,2534,Producer
136,2535,Producer
136,1106,"Director, Episode Director, Storyboard"
38000,927,"Producer, Planning"
38000,1005,Producer
38000,1006,Producer
38000,1007,Producer
38889,159,Producer
38889,1258,Assistant Producer
38889,2548,"Director, Episode Director, Storyboard"
38889,2549,Sound Director
34612,2559,Producer
34612,2560,Producer
34612,1615,Producer
34612,1566,Producer
39741,159,Producer
39741,258,Producer
39741,506,Producer
39741,508,Producer
36885,2581,Producer
36885,2582,Producer
36885,2583,Producer
36885,2584,Producer
33255,159,Producer
33255,2002,Producer
33255,2591,Producer
33255,2592,Producer
37999,161,Producer
37999,231,Producer
37999,2595,Producer
37999,781,"Director, Episode Director, Storyboard"
30709,2609,Director
30709,2610,"Theme Song Performance, Theme Song Lyrics"
30709,2611,Original Creator
30709,2612,"Chief Animation Director, Character Design"
38040,1904,Producer
38040,2628,Producer
38040,2629,Producer
38040,2630,"Director, Storyboard"
36275,2637,"Director, Episode Director"
36275,2638,Episode Director
36275,2639,Script
36275,2640,Script
48561,159,Producer
48561,57,Producer
48561,161,Producer
48561,510,"Producer, Co-Producer"
5028,2662,"Director, Episode Director, Storyboard"
5028,2663,Sound Director
5028,2664,"Episode Director, Storyboard"
5028,2665,"Episode Director, Storyboard"
55888,1355,Producer
55888,1477,Producer
55888,2671,Producer
55888,2672,Producer
24687,825,Assistant Producer
24687,2676,"Episode Director, Storyboard, Series Composition"
24687,2677,Episode Director
24687,2678,Theme Song Performance
35851,2691,"Producer, Planning"
35851,1722,Producer
35851,1680,Producer
35851,2692,Producer
4921,2701,"Director, Script"
4921,2702,Director
4921,2703,Original Creator
4921,2704,Character Design
2246,2715,Producer
2246,2716,"Producer, Storyboard"
2246,2717,Producer
2246,2718,Assistant Producer
56523,2731,Original Creator
35557,1160,Producer
35557,611,Producer
35557,2743,Producer
35557,2744,Producer
46095,1006,Producer
46095,2757,Producer
46095,2758,Producer
46095,1622,Assistant Producer
53672,2760,Original Creator
55809,2772,Original Creator
49722,1333,Producer
49722,116,Producer
49722,2786,Producer
49722,2787,Producer
45556,2802,Producer
45556,2803,"Director, Script, Original Creator"
45556,2804,ADR Director
45556,2805,ADR Director
5,308,Producer
5,652,Producer
5,2815,Producer
5,2816,Producer
37965,889,Producer
37965,891,Producer
37965,890,Producer
37965,484,Producer
32366,122,Director
32366,29,Director
32366,2505,Original Creator
32366,2836,Key Animation
31646,483,Producer
31646,484,Producer
31646,2838,Producer
31646,482,Assistant Producer
14397,86,Producer
14397,88,Producer
14397,2839,Producer
14397,2840,Producer
38883,161,Producer
38883,889,Producer
38883,891,Producer
38883,890,Producer
56524,2731,Original Creator
38475,1355,Producer
38475,2129,Producer
38475,953,Producer
38475,2130,Producer
50183,2840,Producer
50183,2863,"Director, Sound Director, Episode Director, Storyboard"
50183,2864,"Episode Director, Storyboard, Key Animation, 2nd Key Animation"
50183,2865,Episode Director
55318,1313,Producer
55318,2881,Producer
55318,2882,Producer
55318,2883,Producer
61952,2894,Director
61952,2895,Theme Song Performance
9617,2912,Producer
9617,2913,"Director, Storyboard"
9617,850,"Episode Director, Storyboard"
9617,2331,"Episode Director, Key Animation"
9756,575,Producer
9756,536,Producer
