character_id,person_id,language
1418,56,Japanese
1419,1420,Japanese
1421,1422,Japanese
1423,1424,Japanese
1425,1426,Japanese
1427,1428,Japanese
1429,883,Japanese
1430,220,Japanese
1431,1432,Japanese
1433,85,Japanese
139,140,Japanese
141,142,Japanese
143,144,Japanese
145,146,Japanese
1438,1439,Japanese
147,148,Japanese
149,150,Japanese
151,152,Japanese
153,154,Japanese
155,156,Japanese
1441,1442,Japanese
1443,77,Japanese
1444,1445,Japanese
1446,1447,Japanese
1448,932,Japanese
1449,54,Japanese
1450,1451,Japanese
1452,1453,Japanese
1454,1455,Japanese
1456,503,Japanese
1463,1464,Japanese
1465,1466,Japanese
1467,75,Japanese
1468,218,Japanese
1469,473,Japanese
1470,54,Japanese
1471,907,Japanese
1472,382,Japanese
1473,1474,Japanese
1475,1476,Japanese
1481,266,Japanese
1482,1483,Japanese
1484,830,Japanese
1485,108,Japanese
1486,1487,Japanese
1488,445,Japanese
1489,1490,Japanese
1491,1492,Japanese
1493,54,Japanese
1494,1495,Japanese
1501,1502,Japanese
1503,382,Japanese
1504,1505,Japanese
1506,15,Japanese
1507,204,Japanese
1508,1509,Japanese
1510,1511,Japanese
1512,106,Japanese
1513,730,Japanese
1514,1515,Japanese
1520,85,Japanese
1521,79,Japanese
1522,1523,Japanese
1524,164,Japanese
1525,1526,Japanese
1527,334,Japanese
1528,1529,Japanese
1530,1531,Japanese
1532,1533,Japanese
1534,1535,Japanese
1541,1542,Japanese
1543,40,Japanese
1545,1546,Japanese
1547,15,Japanese
1548,1549,Japanese
1550,81,Japanese
1551,1552,Japanese
1553,487,Japanese
1554,1555,Japanese
876,877,Japanese
878,607,Japanese
879,75,Japanese
880,100,Japanese
1560,142,Japanese
881,77,Japanese
882,883,Japanese
884,110,Japanese
885,351,Japanese
886,622,Japanese
876,877,Japanese
878,607,Japanese
1560,142,Japanese
884,110,Japanese
880,100,Japanese
881,77,Japanese
882,883,Japanese
885,351,Japanese
886,622,Japanese
887,888,Japanese
1319,140,Japanese
1320,336,Japanese
1321,1322,Japanese
1323,1324,Japanese
1325,15,Japanese
1327,1328,Japanese
1329,456,Japanese
1330,1331,Japanese
1332,360,Japanese
1562,1563,Japanese
1567,8,Japanese
1568,501,Japanese
1569,164,Japanese
1570,1571,Japanese
1572,148,Japanese
1573,1574,Japanese
1575,1576,Japanese
1577,1578,Japanese
1586,270,Japanese
1587,607,Japanese
1588,992,Japanese
1589,94,Japanese
1590,1591,Japanese
1592,841,Japanese
1593,52,Japanese
1594,544,Japanese
1595,1596,Japanese
1597,1598,Japanese
1604,356,Japanese
1605,110,Japanese
1606,777,Japanese
1607,421,Japanese
1608,276,Japanese
1609,184,Japanese
1610,1012,Japanese
1611,751,Japanese
1612,148,Japanese
1613,768,Japanese
806,807,Japanese
1618,1619,Japanese
1319,140,Japanese
1320,336,Japanese
1321,1322,Japanese
1323,1324,Japanese
1325,15,Japanese
1326,184,Japanese
1327,1328,Japanese
1329,456,Japanese
1330,1331,Japanese
1332,360,Japanese
1626,1505,Japanese
1627,1628,Japanese
1629,15,Japanese
1630,726,Japanese
1631,726,Japanese
1632,1025,Japanese
1633,726,Japanese
1634,23,Japanese
1635,550,Japanese
1636,724,Japanese
141,142,Japanese
143,144,Japanese
145,146,Japanese
139,140,Japanese
147,148,Japanese
149,150,Japanese
151,152,Japanese
153,154,Japanese
155,156,Japanese
157,158,Japanese
1642,751,Japanese
1643,1644,Japanese
1645,1646,Japanese
1647,1648,Japanese
1649,1650,Japanese
1651,349,Japanese
1652,77,Japanese
1653,1654,Japanese
1655,152,Japanese
1656,1657,Japanese
656,657,Japanese
658,487,Japanese
659,660,Japanese
661,79,Japanese
662,73,Japanese
1382,75,Japanese
663,664,Japanese
665,382,Japanese
666,523,Japanese
667,668,Japanese
1389,1390,Japanese
1392,1393,Japanese
1388,276,Japanese
1391,146,Japanese
1394,1395,Japanese
1396,156,Japanese
1397,1398,Japanese
1399,1400,Japanese
1401,664,Japanese
1402,1664,Japanese
1665,150,Japanese
1666,1667,Japanese
1668,15,Japanese
1669,1670,Japanese
1671,523,Japanese
1672,396,Japanese
1673,382,Japanese
1674,164,Japanese
1675,1676,Japanese
1677,1490,Japanese
1319,140,Japanese
1320,336,Japanese
1321,1322,Japanese
1323,1324,Japanese
1325,15,Japanese
1326,184,Japanese
1679,1511,Japanese
1327,1328,Japanese
1329,456,Japanese
1330,1331,Japanese
1685,79,Japanese
1686,701,Japanese
1687,156,Japanese
1688,140,Japanese
1689,356,Japanese
1690,15,Japanese
1691,158,Japanese
1692,1693,Japanese
1694,154,Japanese
1695,21,Japanese
1319,140,Japanese
1320,336,Japanese
1321,1322,Japanese
1323,1324,Japanese
1325,15,Japanese
1326,184,Japanese
1327,1328,Japanese
1329,456,Japanese
1330,1331,Japanese
1332,360,Japanese
568,550,Japanese
564,140,Japanese
569,570,Japanese
574,296,Japanese
1713,351,Japanese
579,481,Japanese
1714,737,Japanese
876,877,Japanese
878,607,Japanese
879,75,Japanese
880,100,Japanese
1560,142,Japanese
881,77,Japanese
882,883,Japanese
884,110,Japanese
885,351,Japanese
886,622,Japanese
1303,50,Japanese
1301,67,Japanese
1302,222,Japanese
1304,382,Japanese
1715,278,Japanese
1716,1717,Japanese
1306,1264,Japanese
1718,992,Japanese
1719,96,Japanese
1720,450,Japanese
931,1723,Japanese
